psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
75610,25,U,3,2, ,1,1,25,7,4, , , ,3
75613,42,S,1,1,1,1,1,54,6,1,6,2,6,1
75614,42,U,1,1,1,1,1,53,3,1,2,2,4,2
75615,37,U,3,1,1,2,1,69,5,1,1,2,6,2
75620,24,U,3,2, ,1,2,31,3,1, , , ,2
75621,39,U,2,2, ,2,1,76,7,9, , , ,3
75624,42,S,1,2, ,1,1,25,3,3, , , ,2
75625,26,S,2,1,1,1,1,57,6,1,1,2,6,3
75627,33,S,1,1,2,2,1,48,6,1,3,2,7,3
75628,12,S,3,1,1,2,1,48,9,1,1,1,8,1
75629,47,U,3,1,1,2,1,50,3,1,1,1,7,3
75630,37,U,3,1,1,1,1,39,6,1,1,1,8,2
75631,42,S,1,1,1,2,2,84,5,1,5,2,4,1
75632,24,S,3,2, ,2,1,50,4,1, , , ,1
75633,33,U,1,1,2,1,1,38,7,4,6,2,9,3
75634,37,U,3,1,1,1,2,55,4,2,1,2,5,2
75636,47,R,3,1,1,2,2,59,3,1,1,2,6,1
75640,13,U,3,1,1,2,2,41,5,1,1,2,4,1
75641,12,S,3,1,1,1,1,23,3,3,6,2,7,3
75642,24,S,3,1,2,1,1,28,7,1,1,2,8,3
75643,37,U,1,1,4,1,2,29,6,3,2,1,1,2
75645,39,U,2,2, ,1,1,23,3,1, , , ,3
75647,37,S,3,2, ,2,1,22,3,1, , , ,1
75649,37,R,3,1,1,1,1,66,6,1,6,2,6,2
75652,12,S,3,1,1,1,2,72,2,2,1,2,4,2
75656,28,S,3,2, ,2,1,22,3,1, , , ,3
75658,31,S,2,1,1,2,2,57,6,1,1,2,8,3
75659,32,S,2,1,1,1,2,35,5,2,1,1,6,2
75660,17,U,2,1,1,1,1,25,8,3,6,2,1,2
75664,27,R,2,1,1,1,1,65,6,1,1,2,8,2
75666,20,R,2,1,5,1,2,21,6,1,6,2,1,2
75667,20,U,2,1,1,3,1,26,8,9,6,2,5,5
75672,19,S,2,1,2,1,1,50,3,1,2,2,3,2
75675,19,R,2,1,2,1,2,25,4,1,1,1,5,2
75677,17,U,2,2, ,1,2,18,2,4, , , ,2
75678,19,S,2,1,1,3,1,38,3,1,1,1,2,3
75679,19,S,2,1,1,2,2,35,4,1,1,1,6,1
75680,31,U,2,1,1,1,1,58,7,1,1,2,9,2
75682,29,R,2,1,1,1,1,48,4,4,1,2,4,4
75685,19,S,2,1,4,1,1,22,2,1,2,1,1,2
75686,31,R,2,1,2,2,1,29,5,1,6,2,6,1
75687,17,S,2,1,1,3,1,37,6,1,1,1,8,3
75689,55,U,2,1,1,2,2,50,6,1,1,2,10,3
75691,17,U,2,1,1,2,1,50,6,3,3,2,6,1
75696,27,S,2,1,2,2,2,65,6,1,1,2,7,1
75697,55,S,2,1,4,2,1,59,3,1,3,2,6,1
75701,19,R,2,1,4,1,1,22,3,1,6,1,1,3
75702,38,U,2,1,2,2,2,42,5,1,6,2,2,2
75703,17,R,2,1,1,2,1,43,3,1,1,1,6,1
75704,17,S,2,1,2,2,1,60,6,1,1,2,1,3
75707,18,S,2,1,1,9,1,28,3,1,1,1,3,2
75708,55,R,2,1,1,2,1,30,6,1,1,1,9,3
75709,27,R,2,1,1,2,2,33,6,1,1,1,4,1
75710,55,S,2,1,1,2,1,36,6,1,1,1,8,1
75711,29,R,2,1,2,1,2,30,4,1,2,1,2,3
75712,17,R,2,1,1,1,1,59,7,1,1,2,9,2
75715,19,U,2,1,1,1,1,50,4,1,5,2,8,2
75716,46,S,2,1,2,2,1,25,6,1,1,2,1,1
75717,38,R,2,2, ,2,1,19,3,1, , , ,3
75722,19,R,2,1,3,3,2,42,5,1,1,1,2,3
75723,38,R,2,1,2,2,1,52,5,1,1,2,7,3
75724,20,U,2,2, ,9,2,30,5,1, , , ,3
75728,20,R,2,1,2,2,1,41,3,1,1,1,4,3
75731,49,S,4,1,2,1,2,50,4,1,1,2,7,2
75732,49,S,4,2, ,2,1,60,7,1, , , ,3
75734,53,R,4,1,4,9,2,50,3,1,1,2,10,2
75735,41,S,4,1,2,1,2,54,5,1,3,1,4,2
75736,15,S,4,2, ,2,1,63,3,4, , , ,4
75744,15,S,4,1,1,1,1,25,6,4,6,2,8,2
75750,30,R,4,2, ,2,1,65,8,3, , , ,3
75752,6,S,4,2, ,1,1,33,3,2, , , ,3
75755,4,U,4,1,2,1,1,30,4,1,6,2,3,3
75759,4,U,4,1,2,1,1,49,6,1,1,1,7,3
75761,53,S,4,1,1,1,1,46,6,4,1,1,8,2
75762,6,U,4,1,1,2,2,68,4,1,5,2,9,1
75763,8,U,4,1,1,1,2,55,8,1,3,2,2,3
75767,6,U,4,1,1,1,1,58,7,2,3,2,7,1
75770,49,U,4,2, ,2,1,24,5,1, , , ,1
75771,49,U,4,2, ,2,1,20,4,1, , , ,3
75772,49,R,4,1,1,2,2,60,8,1,1,2,6,3
75773,29,S,4,1,1,2,2,28,6,1,1,2,4,3
75774,6,U,4,1,1,2,2,53,3,1,3,1,6,1
75775,8,U,4,1,1,1,1,37,6,1,2,2,8,2
75778,8,S,4,1,1,2,1,41,6,1,6,2,2,1
75786,6,S,4,1,2,2,2,35,7,1,1,1,8,1
75787,6,S,4,1,3,2,1,41,4,1,2,1,4,3
75789,6,S,4,1,1,1,1,45,8,1,1,1,9,5
75799,16,R,4,1,2,2,2,37,4,1,1,1,6,1
75801,53,U,4,1,4,1,2,22,3,1,6,2,10,9
75802,15,S,4,1,1,1,2,25,6,1,6,2,3,3
75807,6,U,4,2, ,1,1,48,6,1, , , ,3
75816,32,S,4,1,6,1,1,21,4,4,6,2,9,1
75820,32,S,4,2, ,9,1,42,6,3, , , ,4
75821,33,S,4,2, ,2,2,22,4,1, , , ,1
75825,6,S,4,1,1,1,1,65,5,1,1,2,6,2
75829,41,U,4,1,1,1,1,19,2,3,6,2,10,2
75830,6,U,4,1,2,2,2,39,8,3,1,2,9,1
75831,41,R,4,1,1,1,1,60,8,1,3,2,10,3
75833,53,S,4,2, ,1,2,40,3,4, , , ,2
75834,6,R,4,1,3,1,2,53,3,1,1,2,6,3
75837,6,U,4,2, ,2,1,75,3,1, , , ,1
75838,53,R,4,1,2,2,2,29,4,1,1,1,8,1
75840,16,R,4,1,1,1,2,33,8,1,1,1,6,2
75845,6,S,4,1,1,1,1,99,7,1,6,2,10,2
75846,4,S,4,1,1,1,1,59,8,1,1,1,10,2
75848,6,S,4,1,3,2,1,29,3,1,6,1,3,3
75852,4,U,4,2, ,1,2,62,6,1, , , ,2
75855,51,S,3,1,2,1,1,23,4,1,6,2,2,2
75858,42,U,1,1,1,1,2,56,3,1,3,2,6,2
75859,12,S,3,1,1,2,1,25,4,1,1,2,3,3
75861,12,S,3,1,1,1,1,28,3,2,2,1,3,2
75862,42,U,1,1,1,1,2,50,2,3,2,2,2,3
75863,24,U,3,1,1,1,2,57,2,2,1,2,1,2
75865,36,U,1,2, ,1,1,50,3,2, , , ,1
75867,24,S,3,1,1,1,2,32,6,2,1,1,8,2
75868,36,S,1,2, ,1,1,50,6,4, , , ,2
75869,37,R,3,1,2,2,1,36,6,1,1,1,6,1
75871,42,U,1,1,3,1,2,37,6,1,2,2,5,2
75872,13,S,3,1,1,1,1,46,7,1,1,1,9,3
75879,36,S,1,1,1,1,2,34,8,4,6,2,7,2
75880,13,S,3,2, ,9,1,81,3,1, , , ,3
75881,37,S,3,1,5,1,2,19,3,2,6,2,1,9
75882,12,U,3,1,1,1,2,66,6,9,1,2,10,3
75883,37,U,3,1,1,1,2,39,5,2,1,1,3,2
75884,12,R,3,1,1,1,1,67,6,1,1,2,7,2
75887,12,S,3,1,4,2,1,28,4,1,1,1,5,1
75888,25,R,1,1,1,3,2,42,8,1,3,2,5,3
75889,36,U,1,1,1,1,1,65,8,1,1,2,9,2
75890,13,U,3,1,1,2,1,37,7,1,1,1,6,1
75892,25,S,1,1,2,1,2,67,8,1,1,1,5,3
75893,13,R,3,2, ,9,2,83,3,1, , , ,2
75895,37,U,3,1,4,1,2,22,4,2,2,2,3,2
75897,42,U,1,1,1,1,2,73,3,1,1,2,5,2
75899,9,U,1,1,1,2,2,58,4,1,1,2,7,2
75901,12,U,3,1,4,1,1,21,5,1,6,1,2,3
75902,12,U,3,1,1,1,1,66,7,1,1,2,8,2
75904,12,S,3,1,3,9,1,72,3,1,1,2,4,3
75906,12,S,3,2, ,2,2,23,3,1, , , ,3
75907,12,S,3,1,2,9,1,68,3,1,1,2,4,3
75909,51,S,3,1,2,2,1,87,4,1,5,2,9,1
75911,34,S,1,2, ,1,2,45,6,1, , , ,2
75913,45,U,3,1,2,1,2,59,6,2,3,1,4,2
75914,17,S,2,1,1,2,1,59,8,1,1,2,8,3
75915,37,S,3,2, ,2,1,25,4,1, , , ,3
75918,54,R,3,1,4,2,1,47,1,1,3,2,1,9
75920,37,U,3,1,4,1,2,21,3,3,6,1,1,3
75921,48,S,3,1,1,2,2,51,5,1,1,2,6,1
75922,5,S,3,2, ,1,1,24,6,1, , , ,3
75925,1,R,3,1,1,2,2,60,3,1,1,2,7,3
75926,48,R,3,1,1,1,2,52,3,3,1,1,1,3
75929,13,S,3,1,2,1,1,65,4,1,1,1,5,2
75930,42,U,1,2, ,1,2,33,3,2, , , ,9
75934,37,R,3,1,1,1,1,45,3,2,1,1,1,2
75937,22,S,3,1,3,1,1,65,5,1,1,2,4,2
75938,48,S,3,1,3,1,1,19,4,1,6,2,5,2
75941,51,S,3,1,1,1,1,22,6,4,6,2,6,2
75943,25,U,1,2, ,1,1,78,3,1, , , ,3
75944,21,R,3,2, ,1,2,25,4,2, , , ,3
75948,42,R,1,1,1,2,1,54,3,1,1,2,10,1
75950,36,U,1,2, ,1,1,30,6,2, , , ,3
75951,47,U,3,1,2,2,2,41,4,1,6,2,1,3
75955,27,S,2,1,1,2,1,83,8,1,1,2,3,1
75956,29,S,2,1,1,2,1,64,7,1,1,2,9,4
75957,42,U,1,1,1,9,2,30,8,1,6,2,10,3
75958,27,U,2,1,1,2,1,28,6,1,1,2,7,3
75959,25,S,1,2, ,1,2,20,4,1, , , ,3
75960,47,U,3,1,1,3,1,44,6,1,4,2,6,3
75961,9,U,1,1,4,1,1,22,3,1,6,2,2,3
75963,42,S,1,1,1,2,1,73,6,1,1,2,7,1
75964,42,S,1,1,1,2,1,22,4,1,6,2,7,3
75965,45,S,3,1,1,1,1,30,3,2,6,2,2,2
75966,31,U,2,1,2,1,1,58,3,1,1,2,6,2
75967,47,U,3,1,3,2,1,50,3,1,1,2,5,1
75968,17,U,2,1,1,2,1,33,6,1,1,1,6,1
75969,36,U,1,1,1,2,2,60,8,1,3,2,8,1
75970,44,S,1,1,1,1,1,66,6,1,1,1,10,3
75972,41,S,1,1,2,1,2,40,4,1,1,1,7,2
75975,42,S,1,1,2,1,2,38,6,1,1,1,5,3
75976,25,S,1,2, ,2,1,23,5,1, , , ,4
75978,42,S,1,1,1,1,1,23,3,1,6,2,2,2
75981,51,S,3,1,2,2,1,44,6,4,1,1,9,3
75982,22,R,3,1,5,1,2,25,4,2,6,1,1,2
75983,42,R,1,1,1,1,2,22,4,1,6,2,7,2
75984,48,S,3,2, ,2,2,19,4,1, , , ,3
75988,27,U,2,1,2,1,2,58,6,1,1,2,9,2
75990,25,S,1,1,3,1,2,58,6,1,4,2,6,3
75991,17,S,2,2, ,2,1,20,3,1, , , ,3
75992,42,S,1,2, ,9,1,41,3,1, , , ,4
75994,24,U,3,1,1,1,1,35,6,2,1,2,9,3
75995,17,R,2,1,1,1,2,59,4,2,3,2,6,2
75996,51,S,3,1,2,2,1,69,4,1,1,2,3,1
75997,20,U,2,1,1,2,2,70,6,1,1,2,9,1
75998,37,U,3,2, ,1,1,38,9,3, , , ,4
75999,19,R,2,1,1,1,1,74,7,1,1,2,6,2
76000,17,U,2,1,2,2,1,55,4,1,3,2,5,3
76001,38,U,2,1,1,2,1,22,4,2,6,2,2,3
76004,17,U,2,2, ,2,1,20,4,1, , , ,3
76005,45,R,2,2, ,1,1,18,2,2, , , ,2
76006,17,S,2,1,1,2,1,44,6,1,1,1,5,3
76007,34,S,2,1,2,1,1,34,7,1,1,2,9,2
76008,55,U,2,1,1,1,2,54,5,3,1,2,5,2
76011,27,S,2,1,1,2,2,44,7,1,6,2,8,1
76012,17,U,2,1,2,2,2,82,6,1,1,2,8,1
76014,17,U,2,1,1,1,1,60,8,4,1,2,9,3
76015,27,U,2,1,2,1,1,30,6,1,2,2,6,2
76016,55,U,2,1,1,2,2,52,4,1,1,2,7,1
76017,17,S,2,2, ,9,1,32,3,1, , , ,3
76018,36,U,1,2, ,2,1,44,4,3, , , ,1
76019,17,R,2,2, ,2,1,25,3,1, , , ,3
76021,34,S,1,1,1,2,2,60,6,1,1,2,7,1
76022,24,S,3,1,1,2,1,64,6,1,1,2,9,1
76025,34,S,1,1,1,1,2,25,4,3,2,1,1,2
76026,1,R,3,2, ,2,1,58,2,1, , , ,3
76034,30,R,4,1,1,1,1,65,6,1,1,2,8,3
76037,6,S,4,1,1,2,2,48,6,1,1,2,4,1
76039,8,U,4,1,2,2,2,58,4,1,1,2,9,1
76041,16,R,4,1,1,2,1,43,4,1,1,1,5,3
76042,16,U,4,1,1,3,1,24,4,3,6,2,1,3
76043,22,U,3,1,1,1,1,49,3,2,6,2,2,2
76046,39,S,2,1,5,3,1,18,2,3,1,2,1,3
76047,55,R,2,1,1,2,2,76,7,1,1,2,9,1
76048,39,S,2,2, ,1,1,28,2,2, , , ,2
76049,27,S,2,1,1,2,2,61,3,1,3,2,3,3
76052,17,U,2,1,1,9,1,47,4,2,1,1,8,3
76053,55,S,2,1,1,2,1,25,4,3,6,2,4,3
76054,27,U,2,1,2,1,1,62,7,1,6,2,7,2
76055,27,U,2,1,1,1,2,65,4,2,3,2,3,2
76056,39,S,2,1,1,1,1,50,5,2,1,2,6,2
76057,39,R,2,1,2,2,1,42,6,2,1,1,7,3
76058,26,R,2,1,1,2,1,60,5,1,1,2,7,3
76059,26,S,2,2, ,1,2,33,3,2, , , ,2
76060,39,U,2,1,2,1,2,26,4,2,6,1,2,2
76061,18,S,2,1,2,2,1,61,6,1,3,2,6,3
76064,17,S,2,2, ,1,2,18,3,1, , , ,2
76065,39,U,2,2, ,1,2,20,2,2, , , ,2
76066,55,U,2,1,1,1,1,42,3,1,1,2,4,3
76067,18,S,2,2, ,1,2,30,5,1, , , ,4
76069,8,U,4,2, ,1,1,21,4,1, , , ,2
76070,8,R,4,1,1,1,2,40,8,1,1,2,5,3
76071,31,R,4,2, ,2,1,72,4,1, , , ,3
76072,8,U,4,1,1,1,2,54,7,1,6,2,5,2
76073,36,U,1,2, ,1,2,46,5,2, , , ,2
76076,48,S,3,1,1,2,2,21,4,1,6,1,2,1
76077,17,S,2,1,1,1,1,73,7,9,1,2,4,3
76079,37,U,3,1,2,1,2,41,5,2,2,1,7,2
76080,45,S,3,2, ,2,2,26,7,4, , , ,3
76081,24,S,3,1,1,1,2,37,6,1,1,1,8,2
76084,12,S,3,1,2,2,2,64,5,1,5,2,5,3
76085,54,U,3,1,2,2,2,68,4,1,1,2,6,1
76087,13,S,3,1,1,2,2,58,7,1,1,2,10,1
76089,37,U,3,1,1,2,2,49,6,1,1,1,8,3
76091,22,U,3,1,1,1,1,54,4,2,2,2,2,2
76096,17,U,2,1,2,1,2,34,5,2,6,2,6,2
76097,17,U,2,2, ,1,1,19,4,9, , , ,3
76098,19,R,2,1,2,2,2,60,4,1,1,2,8,1
76099,19,U,2,1,3,1,1,59,3,1,1,2,5,2
76101,48,U,3,2, ,1,2,61,1,3, , , ,3
76102,48,S,3,2, ,2,1,51,3,1, , , ,1
76103,55,S,2,1,1,1,1,21,3,4,6,2,6,2
76104,48,U,3,2, ,1,1,31,4,1, , , ,2
76106,17,R,2,2, ,1,1,40,2,1, , , ,3
76108,47,R,3,1,1,2,1,32,3,1,1,1,4,1
76109,1,U,3,1,1,1,1,68,6,1,1,2,9,3
76111,48,S,3,1,1,2,1,55,6,1,1,1,9,1
76115,48,R,3,1,4,1,2,19,4,3,6,2,3,3
76116,48,U,3,1,1,1,2,29,4,3,4,1,4,3
76117,1,U,3,1,4,2,1,27,4,1,3,1,10,1
76118,48,S,3,1,3,2,2,50,4,1,1,2,6,1
76119,22,S,3,1,1,2,1,51,3,1,1,2,9,1
76122,48,U,3,1,2,2,1,44,6,1,1,1,7,1
76123,19,S,2,2, ,2,2,50,1,3, , , ,2
76127,40,S,3,2, ,2,1,27,3,1, , , ,3
76128,53,S,4,1,1,2,2,19,4,1,6,2,2,1
76132,6,S,4,1,1,1,1,61,7,1,1,2,6,3
76134,32,R,4,2, ,1,1,56,2,3, , , ,3
76135,6,U,4,2, ,1,1,19,4,3, , , ,2
76136,6,U,4,1,1,1,2,33,4,2,1,1,3,2
76137,6,U,4,1,1,1,2,58,8,4,3,2,5,3
76139,6,S,4,2, ,2,1,38,4,1, , , ,3
76141,6,U,4,1,1,1,2,49,6,1,1,1,9,2
76144,6,U,4,1,1,1,2,55,5,2,1,2,8,2
76145,6,U,4,2, ,1,2,52,2,1, , , ,3
76147,6,U,4,1,1,2,2,31,3,4,1,1,6,1
76148,6,U,4,2, ,1,1,99,3,3, , , ,3
76150,6,S,4,1,1,1,2,49,3,1,1,2,9,2
76153,6,S,4,1,2,1,1,55,6,1,6,2,5,2
76154,6,S,4,1,1,2,2,69,5,1,1,2,10,1
76157,4,U,4,2, ,1,1,24,3,3, , , ,3
76159,6,U,4,1,3,1,2,35,6,3,6,2,9,3
76165,6,U,4,1,1,3,1,19,3,3,6,2,10,3
76171,51,S,3,1,1,2,2,46,6,1,1,1,4,1
76172,37,U,3,1,1,2,1,52,6,1,1,1,8,1
76174,51,S,3,1,1,2,2,58,6,1,2,2,7,1
76175,36,S,1,1,1,2,2,38,4,1,3,2,5,1
76176,36,U,1,2, ,1,1,33,6,1, , , ,2
76177,36,U,1,1,1,1,1,41,6,2,6,2,6,2
76178,12,S,3,1,1,2,2,56,5,1,1,2,10,1
76179,39,R,2,1,2,1,2,72,4,1,1,2,3,2
76181,37,U,3,1,1,1,1,74,8,1,1,2,6,2
76182,26,R,2,2, ,1,2,20,3,1, , , ,2
76183,12,U,3,1,1,1,2,57,6,1,3,2,3,2
76184,13,U,3,2, ,1,1,56,2,2, , , ,2
76186,13,S,3,1,1,2,2,42,6,1,1,1,9,1
76188,37,U,3,1,1,1,2,32,5,2,2,1,6,2
76189,37,U,3,1,1,1,2,37,4,1,1,2,6,2
76191,13,R,3,1,1,2,1,58,6,1,1,2,7,1
76192,37,U,3,1,1,1,2,24,6,1,4,2,4,3
76194,39,R,2,1,4,1,2,18,3,4,6,2,1,3
76195,18,S,2,1,1,2,2,33,8,1,2,1,5,3
76197,37,U,3,1,1,1,2,27,4,2,1,1,4,2
76198,39,U,2,1,1,1,1,71,3,1,1,1,6,2
76200,18,R,2,1,5,2,1,42,2,1,1,1,4,1
76201,36,U,1,1,1,1,2,68,6,2,4,2,4,2
76203,36,S,1,2, ,9,1,99,9,3, , , ,9
76205,25,U,1,2, ,1,1,40,6,4, , , ,2
76206,34,S,1,2, ,1,2,68,1,3, , , ,2
76207,44,S,1,1,4,1,2,23,6,1,6,2,4,3
76208,36,R,1,1,1,1,2,52,3,1,1,2,5,2
76210,25,S,1,1,1,1,2,43,7,4,1,1,7,2
76211,36,U,1,2, ,1,1,34,3,3, , , ,3
76213,13,S,3,1,2,1,1,45,3,3,1,1,4,2
76214,48,U,3,2, ,1,2,22,6,4, , , ,3
76219,36,U,1,1,3,1,2,44,4,3,2,2,3,3
76220,18,S,2,1,2,2,2,40,4,1,1,1,8,1
76221,48,U,3,2, ,1,1,21,4,2, , , ,3
76223,36,S,1,2, ,2,1,63,4,1, , , ,4
76224,25,U,1,2, ,9,1,45,5,1, , , ,3
76226,8,S,1,1,1,2,1,23,6,1,6,2,7,1
76227,17,R,2,1,4,3,2,24,4,1,1,1,8,3
76230,36,S,1,1,6,3,1,20,4,3,6,2,10,3
76231,42,S,1,1,1,2,1,56,8,1,1,2,9,3
76232,12,U,3,1,1,1,2,40,5,2,6,1,4,2
76233,39,S,2,1,5,1,2,18,3,2,6,2,3,2
76234,19,U,2,1,1,2,1,67,3,1,5,2,6,1
76235,12,U,3,1,1,9,1,68,6,1,1,2,3,4
76237,18,U,2,1,1,2,2,22,4,1,6,2,5,1
76238,55,R,2,1,3,2,2,39,5,1,1,1,9,1
76240,17,S,2,2, ,1,2,68,1,3, , , ,4
76241,20,R,2,1,4,1,2,51,4,1,1,2,6,1
76244,39,S,3,1,1,1,1,62,8,4,3,2,9,2
76245,42,R,1,2, ,2,1,27,3,1, , , ,3
76248,34,S,1,1,1,1,1,66,3,1,1,2,8,2
76249,39,S,2,1,1,1,2,43,8,1,1,1,8,2
76251,17,R,2,1,2,1,2,52,7,1,2,2,10,3
76253,19,U,3,1,2,1,1,29,5,1,6,2,2,2
76255,34,S,1,2, ,1,2,24,6,4, , , ,2
76257,37,U,3,1,6,1,2,46,4,3,1,2,7,3
76260,47,R,3,1,2,2,2,75,4,1,5,2,10,3
76261,12,S,3,1,1,1,1,48,3,1,1,2,10,3
76262,17,S,2,1,1,2,1,67,6,1,3,2,4,2
76263,21,R,3,1,2,2,2,51,8,1,1,1,7,2
76265,1,U,3,1,1,1,1,42,3,2,6,2,1,2
76269,17,S,2,1,2,2,2,48,6,1,1,1,9,1
76273,28,R,3,1,1,2,2,69,7,1,5,2,8,3
76274,48,S,3,1,1,2,1,58,6,1,1,2,2,1
76277,22,U,3,1,1,2,1,77,5,1,1,2,9,1
76280,48,U,3,1,1,2,1,64,8,1,1,2,10,2
76282,39,S,2,1,1,1,1,45,6,1,1,1,8,2
76283,29,U,2,1,2,2,2,41,6,1,1,1,6,1
76284,1,U,3,1,4,1,1,18,3,1,6,2,8,2
76285,47,U,3,1,1,1,2,38,8,4,3,1,6,4
76287,17,U,2,1,1,1,2,39,8,4,1,2,9,2
76288,48,U,3,2, ,1,2,21,3,3, , , ,2
76289,48,S,3,1,2,9,2,64,6,1,4,2,2,2
76292,28,R,3,1,1,1,2,47,4,2,1,1,2,3
76293,47,U,3,1,1,1,1,44,4,2,6,2,3,2
76297,48,S,3,1,1,2,1,51,3,1,1,2,9,1
76299,42,U,1,1,1,2,1,65,5,1,3,2,6,4
76300,48,U,3,1,2,1,2,42,7,3,2,1,10,9
76303,1,U,3,1,1,1,1,43,3,1,2,2,3,1
76304,42,S,1,1,1,1,1,65,6,1,1,2,7,2
76306,34,S,1,1,6,1,2,58,6,2,1,2,7,3
76308,22,S,3,1,2,2,1,52,3,1,1,2,4,3
76310,1,S,3,1,4,1,1,47,3,1,1,1,7,2
76312,47,U,3,1,1,1,2,70,3,1,1,2,2,2
76314,5,U,3,1,5,1,1,45,1,1,6,2,2,3
76315,48,R,3,1,1,2,2,19,4,1,6,2,7,1
76316,48,S,3,1,1,1,2,41,5,2,1,1,7,3
76319,37,U,3,1,1,1,2,62,7,9,1,2,5,3
76320,54,U,3,1,2,1,2,56,6,1,1,2,6,2
76321,54,S,3,1,1,2,2,62,5,1,1,2,10,3
76322,25,U,1,1,6,1,1,19,3,1,6,2,9,3
76325,39,S,2,2, ,1,1,24,6,1, , , ,3
76327,16,R,4,1,2,2,2,62,6,1,1,2,8,3
76328,8,S,4,1,3,1,2,33,3,3,2,1,2,3
76335,49,R,4,2, ,1,1,46,3,3, , , ,3
76337,6,S,4,1,3,9,2,28,6,4,6,2,7,3
76340,6,S,4,2, ,2,2,21,4,2, , , ,3
76341,41,R,4,1,5,2,1,18,3,1,6,2,9,1
76342,6,U,4,1,4,2,1,45,3,4,1,1,3,4
76343,48,S,3,1,1,2,1,65,6,1,1,2,6,3
76345,37,S,3,2, ,1,1,24,3,1, , , ,3
76348,6,U,4,2, ,1,1,34,3,3, , , ,9
76349,48,S,3,1,2,2,2,53,4,1,1,2,7,1
76350,48,S,3,1,1,2,1,38,5,1,1,1,8,1
76351,53,R,4,1,2,1,2,64,7,1,6,1,6,3
76352,53,U,4,1,5,2,1,23,3,1,6,2,3,1
76355,39,U,4,1,3,2,1,43,6,1,1,1,6,3
76356,16,R,4,1,1,2,2,34,4,1,1,1,3,3
76357,4,U,4,2, ,1,2,21,4,1, , , ,3
76358,21,S,3,1,4,1,2,28,6,4,6,2,10,2
76362,12,U,3,2, ,2,1,47,8,1, , , ,3
76363,9,U,1,1,1,2,2,82,7,1,5,2,1,1
76364,1,U,3,1,1,2,2,63,3,1,1,2,6,1
76365,24,S,3,2, ,1,2,35,1,3, , , ,9
76366,36,S,1,1,3,1,1,19,3,3,6,2,8,2
76367,12,S,3,1,1,1,1,24,3,2,1,2,1,2
76368,51,S,3,1,3,2,1,36,8,3,1,1,9,3
76370,37,U,4,2, ,2,2,60,4,1, , , ,1
76371,4,U,4,1,3,1,2,65,3,1,5,2,2,3
76375,48,S,3,1,2,1,1,73,3,3,3,2,4,2
76376,53,S,4,1,2,1,1,44,3,4,1,1,8,2
76377,10,R,3,1,2,2,2,41,3,1,1,1,6,3
76378,32,S,4,2, ,2,1,18,3,1, , , ,1
76379,36,U,4,2, ,2,2,20,4,4, , , ,3
76381,6,U,4,1,1,2,1,50,5,1,1,2,8,1
76386,6,S,4,2, ,1,1,62,3,1, , , ,3
76387,53,R,4,1,1,1,2,62,6,1,3,2,2,2
76388,37,R,3,1,1,2,1,67,6,1,1,2,4,1
76389,21,S,3,1,5,1,2,64,3,1,3,2,1,9
76390,12,S,3,1,1,1,2,41,6,2,2,1,5,2
76391,48,S,3,1,1,2,2,43,6,1,1,1,5,3
76392,12,U,3,1,2,2,1,59,6,1,3,1,4,3
76395,22,U,3,1,2,1,1,44,4,2,1,2,1,2
76398,6,U,4,1,1,2,2,49,7,1,1,1,8,1
76401,6,U,4,2, ,2,2,51,4,3, , , ,3
76403,6,U,4,2, ,1,1,19,4,4, , , ,3
76404,53,S,4,1,4,1,1,41,3,1,6,2,2,3
76405,53,S,4,2, ,1,1,22,5,3, , , ,3
76406,48,R,3,1,1,1,1,58,3,3,1,2,1,2
76407,36,S,4,1,3,3,2,22,4,3,6,2,1,3
76409,41,U,4,1,3,2,1,33,4,4,1,2,7,3
76421,6,U,4,1,4,1,1,24,5,3,2,1,4,2
76427,6,S,4,1,1,1,1,41,6,1,9,1,10,3
76429,6,U,4,2, ,2,1,42,8,4, , , ,3
76433,56,R,4,1,1,1,2,57,4,1,1,2,6,2
76435,26,U,4,1,1,1,1,30,7,1,6,2,3,3
76436,40,S,4,2, ,1,2,38,3,3, , , ,2
76447,32,S,4,1,4,1,2,99,9,9,9,9,10,4
76449,2,U,4,1,2,2,2,42,3,1,1,2,3,1
76450,24,S,4,2, ,1,1,34,5,1, , , ,2
76451,37,U,4,1,1,1,2,67,6,2,3,2,4,2
76452,6,S,4,2, ,1,1,51,8,1, , , ,3
76453,6,S,4,1,1,2,1,50,8,4,1,2,9,1
76454,6,S,4,2, ,2,1,21,4,1, , , ,1
76455,32,S,4,1,2,2,1,67,8,1,2,2,7,1
76457,6,S,4,1,1,2,1,65,8,9,3,2,10,3
100006,12,U,3,1,2,1,2,69,3,2,5,2,10,2
100009,26,U,2,1,2,1,2,34,3,1,1,1,2,2
100012,24,S,3,1,1,1,1,57,6,2,1,2,9,2
100013,42,S,1,2, ,1,2,85,6,1, , , ,2
100016,51,S,3,1,2,2,2,37,6,1,1,1,7,1
100021,13,S,3,2, ,1,2,63,6,1, , , ,3
100023,37,S,3,1,1,1,2,70,3,2,3,2,3,2
100028,24,S,3,1,3,1,2,46,6,4,3,1,8,2
100029,26,S,2,1,1,9,2,64,8,4,1,2,5,9
100036,12,S,3,1,2,1,2,68,5,1,1,2,7,2
