psraid,state,community,region,registered,oftvote,vote,sex,age,educ,racethn,marital,parent,income,party
50433,23,R,1,1,1,1,1,52,6,1,2,2,9,2
50434,9,S,1,1,1,2,1,85,4,1,1,2,6,1
50445,47,S,3,1,1,2,1,71,3,1,1,2,6,1
50446,12,R,3,1,1,2,1,67,8,1,1,2,8,3
50447,18,S,2,2, ,9,2,54,6,1, , , ,1
50450,51,S,3,1,1,2,2,56,6,1,1,2,9,1
50461,51,U,3,1,1,1,2,43,7,1,1,2,8,2
50464,12,R,3,1,1,2,2,55,3,1,1,2,5,1
50465,12,S,3,1,1,2,2,99,6,1,1,1,9,1
50468,50,R,1,1,2,1,1,70,7,1,6,2,7,2
50471,12,R,2,1,1,2,1,92,1,1,1,2,5,1
50475,37,U,3,1,1,9,1,60,8,3,1,2,8,3
50479,45,S,3,1,1,1,1,68,3,4,1,2,3,2
50483,13,S,3,1,1,1,2,65,4,1,5,1,5,2
50488,48,U,3,1,3,1,2,57,3,1,6,2,5,2
50492,27,S,2,1,1,2,1,58,8,1,1,1,9,1
50493,5,R,3,1,1,2,1,60,5,1,6,2,4,3
50495,1,S,3,1,1,2,2,81,3,1,5,2,6,1
50497,48,S,3,1,2,2,2,56,5,2,3,1,6,1
50500,19,S,2,1,1,2,1,59,3,1,1,2,7,3
50503,17,S,2,1,3,2,2,30,6,1,1,1,6,1
50504,1,R,3,1,1,2,2,57,4,1,1,2,6,1
50505,29,R,2,1,2,3,1,36,6,1,1,1,3,3
50507,55,R,2,1,2,1,2,69,2,1,5,2,10,2
50510,48,S,3,1,2,2,1,46,6,1,1,1,4,3
50514,19,R,2,1,2,2,2,57,3,1,3,2,2,3
50516,55,R,2,1,1,1,2,66,6,1,1,2,4,2
50520,55,S,2,1,1,2,1,77,3,1,1,2,2,1
50528,1,S,3,1,1,9,2,74,4,1,6,2,3,4
50531,20,S,2,1,1,1,2,71,3,1,5,2,7,2
50535,6,S,2,1,2,2,1,62,8,1,1,2,9,1
50536,55,S,2,1,2,9,1,35,6,1,1,1,10,9
50538,48,R,3,1,2,2,2,67,5,1,1,2,10,1
50539,21,R,3,2, ,1,1,54,3,1, , , ,2
50552,19,R,2,1,2,2,1,66,5,1,2,2,5,2
50554,40,R,3,1,1,2,2,78,4,1,1,2,2,1
50555,47,S,3,1,1,2,2,55,6,1,1,2,9,1
50559,28,R,3,1,3,2,1,55,3,1,3,2,3,1
50562,1,U,3,1,1,2,2,51,3,1,3,2,6,3
50577,8,U,4,1,1,1,2,52,7,1,1,2,8,2
50585,16,U,4,1,1,2,1,95,8,1,1,2,6,1
50597,8,S,4,1,1,1,1,73,6,1,1,2,6,3
50598,35,U,4,1,1,1,1,86,1,3,1,2,2,2
50603,4,R,4,1,1,1,2,68,4,1,5,2,10,2
50608,6,S,4,1,2,9,2,99,3,1,3,2,6,3
50610,4,S,4,2, ,1,2,70,3,1, , , ,2
50613,32,U,4,1,1,2,2,61,5,4,1,2,10,3
50615,6,U,4,1,1,3,1,74,4,1,1,2,6,3
50620,41,S,4,1,1,3,2,67,5,1,3,2,4,3
50621,6,S,4,1,1,1,2,72,4,1,5,2,10,2
50623,41,R,4,1,1,1,2,68,6,1,2,2,7,2
50627,6,S,4,2, ,1,1,51,8,1, , , ,3
50629,4,S,4,1,1,2,2,47,4,3,2,2,6,3
50631,6,S,4,2, ,2,1,32,4,1, , , ,4
50643,6,S,4,1,1,1,2,99,3,1,5,2,10,2
